event_type,count,avg_10d,med_10d,avg_20d,hit_rate_10d
regulatory_approval,54,0.021237037259865164,0.0014648617025497,0.02571507597437014,0.42592592592592593
earnings_miss_or_cut,206,0.013474681098687477,0.0142348376353575,0.006925249760867233,0.4854368932038835
earnings_beat,297,0.011388422904721524,0.0123584597439268,0.022669388688336203,0.5084175084175084
negative_move,1317,0.0070501143923888615,0.0033133121635676,0.011909500157654424,0.4882308276385725
operational_issue,185,0.006214355571746464,0.0056953170259726,0.010582532231644164,0.4594594594594595
positive_move,1273,0.006130573894687022,0.0030052324309451,0.013986504573755823,0.4956794972505892
analyst_upgrade,2166,0.0056701014576760805,0.00246263799949935,0.007487208245926526,0.45290858725761773
buyback,167,0.005253663191657228,0.0055363269731505,0.010211361734275243,0.5089820359281437
analyst_downgrade,881,0.004381642250446873,0.0033133121635676,0.008602807560644514,0.4699205448354143
other,73294,0.004185267490660653,0.0032428019237393,0.00882495034458386,0.4697928889131443
legal_risk,618,0.003120182645177339,0.00265604465807085,0.01649307915153386,0.44983818770226536
contract_win,2680,0.002332698559481634,0.000759978884932,0.004256869666761375,0.44402985074626866
product_launch,1075,0.0017810452338401386,0.000683542638661,0.006328372194893537,0.44465116279069766
partnership,1545,0.0004310481944179871,-0.0001122826226411,0.006821444100370712,0.4459546925566343
m&a,1058,-0.00022470648777444632,0.002054535233037,0.0012675320908298424,0.43761814744801514
